Round of feistel permutation:Please input key for 1th round(4 uint32):Please input key for 2th round(4 uint32):Please input key for 3th round(4 uint32):0 -> 95
1 -> 60
2 -> 25
3 -> 98
4 -> 48
5 -> 21
6 -> 41
7 -> 4
8 -> 49
9 -> 56
10 -> 40
11 -> 0
12 -> 39
13 -> 6
14 -> 52
15 -> 2
16 -> 96
17 -> 19
18 -> 67
19 -> 38
20 -> 93
21 -> 86
22 -> 43
23 -> 20
24 -> 34
25 -> 76
26 -> 79
27 -> 26
28 -> 30
29 -> 42
30 -> 83
31 -> 17
32 -> 27
33 -> 24
34 -> 90
35 -> 18
36 -> 75
37 -> 33
38 -> 11
39 -> 28
40 -> 50
41 -> 85
42 -> 1
43 -> 80
44 -> 14
45 -> 9
46 -> 69
47 -> 94
48 -> 10
49 -> 73
50 -> 13
51 -> 32
52 -> 35
53 -> 51
54 -> 99
55 -> 77
56 -> 31
57 -> 91
58 -> 70
59 -> 97
60 -> 8
61 -> 45
62 -> 66
63 -> 7
64 -> 62
65 -> 58
66 -> 87
67 -> 92
68 -> 100
69 -> 81
70 -> 57
71 -> 37
72 -> 36
73 -> 78
74 -> 65
75 -> 44
76 -> 47
77 -> 89
78 -> 61
79 -> 16
80 -> 55
81 -> 5
82 -> 29
83 -> 12
84 -> 68
85 -> 72
86 -> 84
87 -> 88
88 -> 71
89 -> 54
90 -> 22
91 -> 59
92 -> 74
93 -> 3
94 -> 53
95 -> 64
96 -> 63
97 -> 15
98 -> 46
99 -> 23
100 -> 82
